ExitVelocity(MPH),Hits,BBE,AVG,wOBA,1B,2B,3B,HR,1B %,2B %,3B %,HR %
8,0,1,0,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0
15,1,2,0.5,0.45,1,0,0,0,50,0,0,0
16,0,2,0,0.45,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0
18,0,3,0,0.3,0,0,0,0,0,0,0,0
19,0,2,0,0,0,0,0,0,0,0,0,0
22,0,2,0,0,0,0,0,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,0,0,0
24,0,1,0,0,0,0,0,0,0,0,0,0
25,1,2,0.5,0.45,1,0,0,0,50,0,0,0
26,0,2,0,0,0,0,0,0,0,0,0,0
27,1,2,0.5,0.45,1,0,0,0,50,0,0,0
28,1,3,0.333,0.3,1,0,0,0,33.3,0,0,0
29,2,6,0.333,0.3,2,0,0,0,33.3,0,0,0
30,1,5,0.2,0.36,1,0,0,0,20,0,0,0
31,0,6,0,0,0,0,0,0,0,0,0,0
32,1,7,0.143,0.129,1,0,0,0,14.3,0,0,0
33,0,7,0,0.129,0,0,0,0,0,0,0,0
34,1,8,0.125,0.113,1,0,0,0,12.5,0,0,0
35,1,8,0.125,0.113,1,0,0,0,12.5,0,0,0
36,2,8,0.25,0.338,2,0,0,0,25,0,0,0
37,2,13,0.154,0.138,2,0,0,0,15.4,0,0,0
38,3,20,0.15,0.18,3,0,0,0,15,0,0,0
39,4,21,0.19,0.171,4,0,0,0,19,0,0,0
40,4,22,0.182,0.245,4,0,0,0,18.2,0,0,0
41,3,16,0.188,0.169,3,0,0,0,18.8,0,0,0
42,3,25,0.12,0.144,3,0,0,0,12,0,0,0
43,7,26,0.269,0.277,7,0,0,0,26.9,0,0,0
44,7,34,0.206,0.212,7,0,0,0,20.6,0,0,0
45,3,37,0.081,0.097,3,0,0,0,8.1,0,0,0
46,6,37,0.162,0.146,6,0,0,0,16.2,0,0,0
47,8,48,0.167,0.188,8,0,0,0,16.7,0,0,0
48,12,57,0.211,0.205,12,0,0,0,21.1,0,0,0
49,6,58,0.103,0.115,5,1,0,0,8.6,1.7,0,0
50,7,60,0.117,0.12,7,0,0,0,11.7,0,0,0
51,5,67,0.075,0.081,5,0,0,0,7.5,0,0,0
52,8,92,0.087,0.117,8,0,0,0,8.7,0,0,0
53,14,92,0.152,0.151,13,1,0,0,14.1,1.1,0,0
54,13,115,0.113,0.128,12,1,0,0,10.4,0.9,0,0
55,20,122,0.164,0.183,18,2,0,0,14.8,1.6,0,0
56,27,135,0.2,0.199,25,2,0,0,18.5,1.5,0,0
57,21,140,0.15,0.15,20,1,0,0,14.3,0.7,0,0
58,22,145,0.152,0.143,22,0,0,0,15.2,0,0,0
59,28,182,0.154,0.155,27,1,0,0,14.8,0.5,0,0
60,35,187,0.187,0.19,34,1,0,0,18.2,0.5,0,0
61,25,206,0.121,0.122,25,0,0,0,12.1,0,0,0
62,40,238,0.168,0.169,38,2,0,0,16,0.8,0,0
63,42,274,0.153,0.161,39,3,0,0,14.2,1.1,0,0
64,53,298,0.178,0.181,51,2,0,0,17.1,0.7,0,0
65,68,321,0.212,0.216,65,3,0,0,20.2,0.9,0,0
66,70,344,0.203,0.199,67,3,0,0,19.5,0.9,0,0
67,100,361,0.277,0.258,99,1,0,0,27.4,0.3,0,0
68,90,416,0.216,0.217,84,6,0,0,20.2,1.4,0,0
69,128,475,0.269,0.275,117,11,0,0,24.6,2.3,0,0
70,122,484,0.252,0.245,113,9,0,0,23.3,1.9,0,0
71,125,495,0.253,0.244,114,11,0,0,23,2.2,0,0
72,142,542,0.262,0.26,125,17,0,0,23.1,3.1,0,0
73,148,603,0.245,0.241,137,11,0,0,22.7,1.8,0,0
74,134,629,0.213,0.222,123,11,0,0,19.6,1.7,0,0
75,140,669,0.209,0.208,129,11,0,0,19.3,1.6,0,0
76,145,620,0.234,0.23,133,12,0,0,21.5,1.9,0,0
77,150,708,0.212,0.206,132,18,0,0,18.6,2.5,0,0
78,167,747,0.224,0.226,146,19,2,0,19.5,2.5,0.3,0
79,174,749,0.232,0.219,157,17,0,0,21,2.3,0,0
80,174,806,0.216,0.217,148,24,2,0,18.4,3,0.2,0
81,184,903,0.204,0.21,165,17,2,0,18.3,1.9,0.2,0
82,178,838,0.212,0.208,153,24,1,0,18.3,2.9,0.1,0
83,205,949,0.216,0.216,166,36,3,0,17.5,3.8,0.3,0
84,203,958,0.212,0.208,170,30,3,0,17.7,3.1,0.3,0
85,213,1015,0.21,0.207,182,30,1,0,17.9,3,0.1,0
86,205,1012,0.203,0.211,174,28,3,0,17.2,2.8,0.3,0
87,238,1133,0.21,0.216,207,29,2,0,18.3,2.6,0.2,0
88,224,1110,0.202,0.206,180,37,7,0,16.2,3.3,0.6,0
89,257,1185,0.217,0.224,204,49,3,1,17.2,4.1,0.3,0.1
90,261,1213,0.215,0.22,213,45,1,2,17.6,3.7,0.1,0.2
91,280,1314,0.213,0.226,212,53,7,8,16.1,4,0.5,0.6
92,320,1289,0.248,0.254,251,61,3,5,19.5,4.7,0.2,0.4
93,352,1391,0.253,0.274,252,79,4,17,18.1,5.7,0.3,1.2
94,396,1400,0.283,0.306,280,90,7,19,20,6.4,0.5,1.4
95,405,1422,0.285,0.319,267,97,10,31,18.8,6.8,0.7,2.2
96,474,1499,0.316,0.363,302,114,9,49,20.1,7.6,0.6,3.3
97,538,1522,0.353,0.415,316,137,16,69,20.8,9,1.1,4.5
98,545,1422,0.383,0.475,283,149,13,100,19.9,10.5,0.9,7
99,619,1489,0.416,0.522,314,160,14,131,21.1,10.7,0.9,8.8
100,679,1505,0.451,0.559,355,171,16,137,23.6,11.4,1.1,9.1
101,704,1428,0.493,0.638,337,180,15,172,23.6,12.6,1.1,12
102,711,1351,0.526,0.676,357,157,14,183,26.4,11.6,1,13.5
103,754,1287,0.586,0.796,324,172,20,238,25.2,13.4,1.6,18.5
104,676,1098,0.616,0.835,297,147,14,218,27,13.4,1.3,19.9
105,677,1038,0.652,0.89,280,163,21,213,27,15.7,2,20.5
106,578,868,0.666,0.909,243,129,18,188,28,14.9,2.1,21.7
107,499,698,0.715,1.029,190,100,9,200,27.2,14.3,1.3,28.7
108,363,525,0.691,0.966,148,77,2,136,28.2,14.7,0.4,25.9
109,290,419,0.692,1.017,91,72,2,125,21.7,17.2,0.5,29.8
110,203,285,0.712,1.008,82,40,3,78,28.8,14,1.1,27.4
111,134,171,0.784,1.108,53,27,0,54,31,15.8,0,31.6
112,88,105,0.838,1.14,38,20,1,29,36.2,19,1,27.6
113,55,61,0.902,1.368,12,19,0,24,19.7,31.1,0,39.3
114,33,41,0.805,1.249,9,6,1,17,22,14.6,2.4,41.5
115,9,19,0.474,0.558,4,4,0,1,21.1,21.1,0,5.3
116,18,20,0.9,1.34,7,2,0,9,35,10,0,45
117,4,5,0.8,1.16,2,0,0,2,40,0,0,40
118,3,3,1,1.5,0,2,0,1,0,66.7,0,33.3
121,1,1,1,2,0,0,0,1,0,0,0,100
